,precision,recall,f1-score,support
airplane,0.9949290060851927,0.981,0.9879154078549849,1000.0
automobile,0.9929292929292929,0.983,0.9879396984924623,1000.0
bird,0.9969604863221885,0.984,0.9904378459989934,1000.0
cat,0.9731610337972167,0.979,0.9760717846460618,1000.0
deer,0.9812067260138477,0.992,0.9865738438587768,1000.0
dog,0.9868020304568528,0.972,0.979345088161209,1000.0
frog,0.9930348258706467,0.998,0.9955112219451372,1000.0
horse,0.993006993006993,0.994,0.993503248375812,1000.0
ship,0.9910179640718563,0.993,0.9920079920079921,1000.0
truck,0.9678675754625121,0.994,0.9807597434632461,1000.0
accuracy,0.987,0.987,0.987,0.987
macro avg,0.98709159340166,0.9869999999999999,0.9870065874804675,10000.0
weighted avg,0.9870915934016601,0.987,0.9870065874804675,10000.0
